name,assignment,length,begin,end,species,species-score,type,type support,major lineage,major lineage support,minor lineage,minor lineage support,minor lineage,minor lineage support
KC692509,1V_E,10735,1,10735,dengue virus type 1,,V,100,E,100,,,,
KC692511,1V_A,10735,1,10735,dengue virus type 1,,V,100,A,100,,,,
KX618705,1III_B,10735,1,10735,dengue virus type 1,,III,100,B,100,,,,
KX618706,1III_B,10735,1,10735,dengue virus type 1,,III,100,B,100,,,,
KX620451,1III_A,10670,11,10701,dengue virus type 1,,III,100,A,100,,,,
KX620452,1III_A,10666,4,10690,dengue virus type 1,,III,100,A,100,,,,
KX620453,1III_A,10667,3,10690,dengue virus type 1,,III,100,A,100,,,,
KX620454,1I_J,10443,17,10459,dengue virus type 1,,I,100,J,100,,,,
KX620455,1I_K.3,10687,4,10690,dengue virus type 1,,I,100,K,100,3,100,,
KX621249,1III_A,10643,24,10687,dengue virus type 1,,III,100,A,100,,,,
KX621250,1I_K,10649,41,10689,dengue virus type 1,,I,100,K,100,Related to but not part of 1,,,
KX621251,1I_K.3,10624,70,10693,dengue virus type 1,,I,100,K,100,3,100,,
KX621252,1I_K.3,10618,70,10687,dengue virus type 1,,I,100,K,100,3,100,,
KX621253,1I_K,10714,1,10714,dengue virus type 1,,I,100,K,100,Related to but not part of 1,,,
KC692510,1V_E,10735,1,10735,dengue virus type 1,,V,100,E,100,,,,
LC011945,1I_K.2,10693,22,10714,dengue virus type 1,,I,100,K,100,2,100,,
LC011946,1I_K.2,10693,22,10714,dengue virus type 1,,I,100,K,100,2,100,,
LC011947,1I_K.2,10693,22,10714,dengue virus type 1,,I,100,K,100,2,100,,
LC011948,1I_K.2,10693,22,10714,dengue virus type 1,,I,100,K,100,2,100,,
LC011949,1I_K,10693,22,10714,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
KR779783,1III_A,10713,1,10734,dengue virus type 1,,III,100,A,100,,,,
LC016760,1I_K.2,10693,22,10714,dengue virus type 1,,I,100,K,100,2,100,,
MN448597,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448598,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
